code,num
C1003,183.815454904146
C1006,284.480055985015
C1016,685.176715341469
C1019,297.060052452407
C1030,14.3465621561507
C1038,261.949552699913
C1040,407.255410136
C1060,578.62413997749
C1064,713.714174225603
C1071,527.185110702765
C1072,713.390662948691
C1083,368.081961522541
C1105,873.878024751686
C1128,1152.75495424901
C1135,246.719609437724
C1147,739.681505160852
C1149,589.33903425108
C1152,927.593622597436
C1158,283.495882416343
C1166,342.224157342307
C1189,243.239155827671
C1215,523.890967852269
C1216,309.025869758589
C1225,236.809017026004
C1229,398.97761759604
C1239,389.285597492081
C1250,989.35600072757
C1253,844.772677504162
C1266,466.945207594865
C1267,321.385564487063
C1282,609.164193780113
C1289,330.284857459235
C1294,609.178932753013
C1297,585.262608958552
C1311,184.859747153514
C1318,227.060610504643
C1323,528.456485209141
C1327,33.2219358603345
C1332,1060.53762015985
C1349,288.589893655311
C1377,321.608259111574
C1392,653.12969837277
C1414,431.460416274397
C1416,843.951369823379
C1456,416.246186503011
C1457,520.307152190696
C1472,413.593663596898
C1474,104.204266540786
C1494,1020.45919981201
C1495,883.823049818552
C1496,803.372981695498
C1521,1110.97143050677
C1525,1103.30919078763
C1563,1540.36012498985
C1564,350.183922784032
C1570,859.647275563958
C1593,234.182812440697
C1602,367.171366566127
C1603,501.953013783637
C1604,375.020899185155
C1617,904.521578599993
C1621,550.457637528977
C1623,331.473812155537
C1629,224.997675395269
C1633,188.021940000526
C1637,507.648867639094
C1640,522.032731814863
C1683,189.049115940136
C1692,1082.61863737481
C1708,306.286514833497
C1712,661.683851133996
C1721,600.586123671791
C1729,163.811859676882
C1741,474.967371630527
C1749,505.901434474965
C1772,575.401570734821
C1782,418.116914978154
C1794,959.646364225639
C1812,111.773913971539
C1826,258.041278793988
C1827,405.250928949954
C1830,793.751136986533
C1835,821.353608742456
C1840,515.936421743024
C1841,48.3628845459538
C1844,489.081587385393
C1849,615.55967530536
C1852,792.288664316715
C1855,323.050469543701
C1887,683.053532115349
C1902,809.738828669472
C2028,1181.76378999936
C2033,190.825054302787
C2039,939.28761650779
C2043,174.33299092857
C2072,240.000474983088
C2076,893.908290230756
C2091,92.9130620305832
C2112,399.941852785597
C2113,559.282025065048
C2128,312.417613509489
C2131,486.997019617739
C2144,441.033754014303
C2152,27.4875022403168
C2174,354.093416909158
C2175,835.355745908065
C2177,145.163266073741
C2189,267.070515915294
C2215,427.681440695207
C2222,415.796272084883
C2224,707.667050388112
C2253,163.961931191382
C2267,928.681022910158
C2268,381.371113912273
C2269,562.141881333626
C2292,1007.2977014678
C2295,488.890438456269
C2303,1395.77832424781
C2318,202.940176555304
C2323,650.094531179438
C2335,283.639383744542
C2363,340.58032629579
C2369,548.531374976266
C2374,347.284692869415
C2397,557.681686905864
C2404,79.8661229766773
C2411,697.582558929181
C2417,382.638805927324
C2423,205.446136362419
C2430,627.225062773449
C2436,627.962988745024
C2451,596.881969430486
C2456,253.202268632969
C2473,1124.19420333816
C2497,699.419661792973
C2523,306.809551587946
C2535,442.005289332781
C2547,478.12059619677
C2551,770.887492269362
C2555,1242.63102068683
C2557,684.650952542493
C2600,437.82574959444
C2602,264.561268062264
C2608,1083.78977876173
C2646,565.496693291872
C2653,883.08543912864
C2675,889.361188347614
C2676,306.749409154466
C2688,78.1563230440139
C2691,1158.92309733286
